industry,region,last_updated_at,date,value,delta,all_industries_value
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2011-01-01,25715,,1979424.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2011-01-01,21400,,2048528.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2011-01-01,12631,,917764.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2011-01-01,1400,,109239.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2011-01-01,23786,,1898330.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2011-01-01,23624,,1367804.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2011-01-01,48860,,2050455.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2011-01-01,19797,,2903950.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2011-01-01,22477,,1166491.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2011-01-01,13577,,991312.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2011-01-01,5283,,5672690.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2011-01-01,13797,,1195114.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2011-01-01,17840,,1780694.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2011-04-01,13633,56.0,991162.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2011-04-01,17796,-44.0,1782113.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2011-04-01,5349,66.0,5683525.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2011-04-01,13028,397.0,915883.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2011-04-01,22886,409.0,1167134.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2011-04-01,14211,414.0,1193764.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2011-04-01,21217,1420.0,2907748.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2011-04-01,24432,-1283.0,1975574.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2011-04-01,21833,433.0,2048622.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2011-04-01,48402,-458.0,2053716.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2011-04-01,23384,-402.0,1906472.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2011-04-01,24366,742.0,1370235.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2011-04-01,1465,65.0,109773.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2011-07-01,13041,13.0,913776.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2011-07-01,24996,564.0,1971027.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2011-07-01,22025,192.0,2045469.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2011-07-01,1469,4.0,110011.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2011-07-01,24694,1310.0,1905000.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2011-07-01,24324,-42.0,1369899.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2011-07-01,54456,6054.0,2060122.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2011-07-01,13554,-79.0,989675.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2011-07-01,20937,-1949.0,1164516.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2011-07-01,5023,-326.0,5686666.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2011-07-01,14017,-194.0,1192737.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2011-07-01,21219,2.0,2904142.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2011-07-01,17769,-27.0,1779568.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2011-10-01,19206,1437.0,1785801.0
Agriculture (A5-AZ),Auvergne-Rhône-Alpes,19/09/2024 12:00,2011-10-01,20174,-1045.0,2907624.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2011-10-01,5099,76.0,5696135.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2011-10-01,13823,-194.0,1193400.0
Agriculture (A5-AZ),Grand Est,19/09/2024 12:00,2011-10-01,26890,1894.0,1971882.0
Agriculture (A5-AZ),Hauts-de-France,19/09/2024 12:00,2011-10-01,21705,-320.0,2044075.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2011-10-01,21025,88.0,1166293.0
Agriculture (A5-AZ),Bourgogne-Franche-Comté,19/09/2024 12:00,2011-10-01,14612,1058.0,991242.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2011-10-01,13100,59.0,913395.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2011-10-01,24041,-283.0,1370359.0
Agriculture (A5-AZ),Occitanie,19/09/2024 12:00,2011-10-01,25494,800.0,1905015.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2011-10-01,1438,-31.0,109970.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2011-10-01,51578,-2878.0,2054878.0
Agriculture (A5-AZ),Nouvelle-Aquitaine,19/09/2024 12:00,2012-01-01,51561,-17.0,2056659.0
Agriculture (A5-AZ),Île-de-France,19/09/2024 12:00,2012-01-01,5197,98.0,5698390.0
Agriculture (A5-AZ),Normandie,19/09/2024 12:00,2012-01-01,14210,387.0,1191376.0
Agriculture (A5-AZ),Bretagne,19/09/2024 12:00,2012-01-01,21261,236.0,1166505.0
Agriculture (A5-AZ),Centre-Val de Loire,19/09/2024 12:00,2012-01-01,12897,-203.0,911863.0
Agriculture (A5-AZ),Provence-Alpes-Côte d'Azur,19/09/2024 12:00,2012-01-01,19175,-31.0,1786923.0
Agriculture (A5-AZ),Corse,19/09/2024 12:00,2012-01-01,1451,13.0,110564.0
Agriculture (A5-AZ),Pays de la Loire,19/09/2024 12:00,2012-01-01,24297,256.0,1371935.0
